-----------  ---------------  ---------------------  --------  ------------  -------------  ------------------  ----------------  ----------------------
  Iteration    Last func val    Incumbent Value val      Time    Train Time    Pool regret    Theoretical Best    Last func test    Incumbent Value test
-----------  ---------------  ---------------------  --------  ------------  -------------  ------------------  ----------------  ----------------------
          0          -2.9790                -2.9790    0.3795       15.0000         0.5337             -3.5127           -2.9790                 -2.9790
-----------  ---------------  ---------------------  --------  ------------  -------------  ------------------  ----------------  ----------------------
  Iteration    Last func val    Incumbent Value val      Time    Train Time    Pool regret    Theoretical Best    Last func test    Incumbent Value test
-----------  ---------------  ---------------------  --------  ------------  -------------  ------------------  ----------------  ----------------------
         45          -0.7721                -3.8005   13.6627      240.0000         2.6504             -3.8293           -0.7721                 -3.8005
         46          -2.6488                -3.8005   14.0411      245.0000         1.0257             -3.8293           -2.6488                 -3.8005
         47          -3.8032                -3.8032   14.4467      250.0000         0.0000             -3.8293           -3.8032                 -3.8032
         48          -1.2887                -3.8032   14.8622      255.0000         2.3836             -3.8293           -1.2887                 -3.8032
         49          -1.3702                -3.8032   15.2788      260.0000         2.2988             -3.8293           -1.3702                 -3.8032
-----------  ---------------  ---------------------  --------  ------------  -------------  ------------------  ----------------  ----------------------
  Iteration    Last func val    Incumbent Value val      Time    Train Time    Pool regret    Theoretical Best    Last func test    Incumbent Value test
-----------  ---------------  ---------------------  --------  ------------  -------------  ------------------  ----------------  ----------------------
          0          -2.5375                -2.5375    0.2901       15.0000         0.9530             -3.4905           -2.5375                 -2.5375
-----------  ---------------  ---------------------  --------  ------------  -------------  ------------------  ----------------  ----------------------
  Iteration    Last func val    Incumbent Value val      Time    Train Time    Pool regret    Theoretical Best    Last func test    Incumbent Value test
-----------  ---------------  ---------------------  --------  ------------  -------------  ------------------  ----------------  ----------------------
          1          -2.3991                -2.5375    0.5611       20.0000         1.3508             -3.7499           -2.3991                 -2.5375
          2          -1.4716                -2.5375    0.8395       25.0000         2.0904             -3.7499           -1.4716                 -2.5375
          3          -3.7705                -3.7705    1.2009       30.0000         0.0000             -3.7705           -3.7705                 -3.7705
          4          -2.5692                -3.7705    1.4617       35.0000         1.2225             -3.7917           -2.5692                 -3.7705
          5          -3.5040                -3.7705    1.6262       40.0000         0.0000             -3.7917           -3.5040                 -3.7705
          6          -0.8887                -3.7705    1.7877       45.0000         2.8003             -3.7917           -0.8887                 -3.7705
          7          -1.5758                -3.7705    1.9470       50.0000         1.8574             -3.7917           -1.5758                 -3.7705
          8          -2.7512                -3.7705    2.1162       55.0000         0.0000             -3.7917           -2.7512                 -3.7705
          9          -2.8099                -3.7705    2.2824       60.0000         0.7774             -3.7917           -2.8099                 -3.7705
         10          -1.8482                -3.7705    2.4586       65.0000         1.8877             -3.7917           -1.8482                 -3.7705
         11          -1.8334                -3.7705    2.6328       70.0000         1.8968             -3.7917           -1.8334                 -3.7705
         12          -2.2471                -3.7705    2.8158       75.0000         1.2683             -3.7917           -2.2471                 -3.7705
         13          -1.9547                -3.7705    2.9957       80.0000         1.3534             -3.7917           -1.9547                 -3.7705
         14          -0.3921                -3.7705    3.1875       85.0000         3.3395             -3.7917           -0.3921                 -3.7705
         15          -2.6111                -3.7705    3.3790       90.0000         0.9580             -3.7917           -2.6111                 -3.7705
         16          -2.9398                -3.7705    3.5780       95.0000         0.6132             -3.7917           -2.9398                 -3.7705
         17          -1.4621                -3.7705    3.7763      100.0000         2.2165             -3.7917           -1.4621                 -3.7705
         18          -2.4709                -3.7705    3.9862      105.0000         1.1568             -3.7917           -2.4709                 -3.7705
         19          -2.2013                -3.7705    4.2010      110.0000         1.5547             -3.7917           -2.2013                 -3.7705
         20          -1.3622                -3.7705    4.4267      115.0000         2.0146             -3.7917           -1.3622                 -3.7705
         21          -1.7218                -3.7705    4.6728      120.0000         2.0880             -3.8098           -1.7218                 -3.7705
         22          -1.8394                -3.7705    4.9173      125.0000         1.6514             -3.8098           -1.8394                 -3.7705
         23          -0.8027                -3.7705    5.2210      130.0000         2.9927             -3.8098           -0.8027                 -3.7705
         24          -3.1571                -3.7705    5.6054      135.0000         0.5345             -3.8098           -3.1571                 -3.7705
         25          -2.5779                -3.7705    5.9998      140.0000         1.2657             -3.8436           -2.5779                 -3.7705
-----------  ---------------  ---------------------  --------  ------------  -------------  ------------------  ----------------  ----------------------
  Iteration    Last func val    Incumbent Value val      Time    Train Time    Pool regret    Theoretical Best    Last func test    Incumbent Value test
-----------  ---------------  ---------------------  --------  ------------  -------------  ------------------  ----------------  ----------------------
          0          -3.5238                -3.5238    0.3910       15.0000         0.0000             -3.5238           -3.5238                 -3.5238
-----------  ---------------  ---------------------  --------  ------------  -------------  ------------------  ----------------  ----------------------
  Iteration    Last func val    Incumbent Value val      Time    Train Time    Pool regret    Theoretical Best    Last func test    Incumbent Value test
-----------  ---------------  ---------------------  --------  ------------  -------------  ------------------  ----------------  ----------------------
          1          -3.4997                -3.5238    0.6488       20.0000         0.0000             -3.5238           -3.4997                 -3.5238
          2          -3.6393                -3.6393    0.9113       25.0000         0.0000             -3.6393           -3.6393                 -3.6393
          3          -2.5281                -3.6393    1.1741       30.0000         1.2938             -3.8219           -2.5281                 -3.6393
          4          -2.4927                -3.6393    1.4476       35.0000         1.0881             -3.8219           -2.4927                 -3.6393
          5          -3.4730                -3.6393    1.7207       40.0000         0.3441             -3.8219           -3.4730                 -3.6393
          6          -2.3993                -3.6393    2.0015       45.0000         1.0921             -3.8219           -2.3993                 -3.6393
          7          -0.3943                -3.6393    2.2723       50.0000         3.1766             -3.8219           -0.3943                 -3.6393
          8          -1.3431                -3.6393    2.5461       55.0000         1.7056             -3.8219           -1.3431                 -3.6393
          9          -2.6182                -3.6393    2.8232       60.0000         0.9519             -3.8219           -2.6182                 -3.6393
         10          -2.5665                -3.6393    3.1126       65.0000         0.6936             -3.8219           -2.5665                 -3.6393
         11          -1.8696                -3.6393    3.4006       70.0000         1.9206             -3.8219           -1.8696                 -3.6393
         12          -1.2458                -3.6393    3.6912       75.0000         2.4769             -3.8219           -1.2458                 -3.6393
         13          -2.1039                -3.6393    3.9886       80.0000         1.4575             -3.8219           -2.1039                 -3.6393
         14          -0.7540                -3.6393    4.2907       85.0000         2.8803             -3.8219           -0.7540                 -3.6393
         15          -3.3917                -3.6393    4.6319       90.0000         0.2035             -3.8219           -3.3917                 -3.6393
         16          -2.3840                -3.6393    4.9813       95.0000         1.2251             -3.8219           -2.3840                 -3.6393
         17          -0.6456                -3.6393    5.3219      100.0000         2.9253             -3.8219           -0.6456                 -3.6393
         18          -3.3862                -3.6393    5.6912      105.0000         0.1425             -3.8219           -3.3862                 -3.6393
         19          -3.1178                -3.6393    6.0683      110.0000         0.6182             -3.8219           -3.1178                 -3.6393
         20          -3.3523                -3.6393    6.4457      115.0000         0.2158             -3.8219           -3.3523                 -3.6393
         21          -1.1233                -3.6393    6.8620      120.0000         2.5286             -3.8219           -1.1233                 -3.6393
         22          -1.3313                -3.6393    7.2883      125.0000         2.3400             -3.8219           -1.3313                 -3.6393
         23          -1.5917                -3.6393    7.6501      130.0000         2.1243             -3.8219           -1.5917                 -3.6393
         24          -1.9596                -3.6393    8.0872      135.0000         1.5127             -3.8219           -1.9596                 -3.6393
         25          -1.5512                -3.6393    8.5454      140.0000         2.1117             -3.8219           -1.5512                 -3.6393
         26          -0.9106                -3.6393    9.0187      145.0000         2.6914             -3.8219           -0.9106                 -3.6393
         27          -2.8608                -3.6393    9.4931      150.0000         0.5728             -3.8219           -2.8608                 -3.6393
         28          -1.6960                -3.6393    9.8581      155.0000         1.9066             -3.8219           -1.6960                 -3.6393
         29          -1.8949                -3.6393   10.2333      160.0000         1.8777             -3.8219           -1.8949                 -3.6393
         30          -1.4228                -3.6393   10.6154      165.0000         2.2980             -3.8219           -1.4228                 -3.6393
         31          -1.0334                -3.6393   10.9990      170.0000         2.3370             -3.8219           -1.0334                 -3.6393
         32          -2.6171                -3.6393   11.3893      175.0000         0.9763             -3.8219           -2.6171                 -3.6393
         33          -2.4498                -3.6393   11.8298      180.0000         1.0828             -3.8219           -2.4498                 -3.6393
         34          -2.6064                -3.6393   12.2533      185.0000         0.7017             -3.8219           -2.6064                 -3.6393
         35          -3.0156                -3.6393   12.6254      190.0000         0.6602             -3.8219           -3.0156                 -3.6393
         36          -2.1701                -3.6393   12.9642      195.0000         1.5443             -3.8219           -2.1701                 -3.6393
         37          -2.6913                -3.6393   13.2691      200.0000         1.0052             -3.8219           -2.6913                 -3.6393
         38          -1.2958                -3.6393   13.5913      205.0000         2.3417             -3.8219           -1.2958                 -3.6393
         39          -2.5971                -3.6393   13.9346      210.0000         1.0120             -3.8219           -2.5971                 -3.6393
         40          -1.1519                -3.6393   14.2877      215.0000         2.3172             -3.8219           -1.1519                 -3.6393
         41          -2.2810                -3.6393   14.6448      220.0000         1.4648             -3.8219           -2.2810                 -3.6393
         42          -1.8998                -3.6393   15.0117      225.0000         1.7592             -3.8219           -1.8998                 -3.6393
         43          -1.4937                -3.6393   15.3902      230.0000         2.0804             -3.8219           -1.4937                 -3.6393
         44          -2.6893                -3.6393   15.7892      235.0000         0.6685             -3.8219           -2.6893                 -3.6393
         45          -2.8970                -3.6393   16.1682      240.0000         0.4433             -3.8219           -2.8970                 -3.6393
         46          -3.0973                -3.6393   16.5619      245.0000         0.4160             -3.8219           -3.0973                 -3.6393
         47          -0.8392                -3.6393   16.9650      250.0000         2.7553             -3.8219           -0.8392                 -3.6393
         48          -2.3152                -3.6393   17.3874      255.0000         0.7930             -3.8219           -2.3152                 -3.6393
         49          -2.1215                -3.6393   17.8057      260.0000         0.7695             -3.8219           -2.1215                 -3.6393
-----------  ---------------  ---------------------  --------  ------------  -------------  ------------------  ----------------  ----------------------
  Iteration    Last func val    Incumbent Value val      Time    Train Time    Pool regret    Theoretical Best    Last func test    Incumbent Value test
-----------  ---------------  ---------------------  --------  ------------  -------------  ------------------  ----------------  ----------------------
          0          -2.3196                -2.5045    0.2916       15.0000         1.4514             -3.7710           -2.3196                 -2.5045
-----------  ---------------  ---------------------  --------  ------------  -------------  ------------------  ----------------  ----------------------
  Iteration    Last func val    Incumbent Value val      Time    Train Time    Pool regret    Theoretical Best    Last func test    Incumbent Value test
-----------  ---------------  ---------------------  --------  ------------  -------------  ------------------  ----------------  ----------------------
          1          -1.9997                -2.5045    0.5664       20.0000         1.5445             -3.7710           -1.9997                 -2.5045
          2          -2.8050                -2.8050    0.8240       25.0000         0.7426             -3.7710           -2.8050                 -2.8050
          3          -1.1663                -2.8050    1.1404       30.0000         2.3598             -3.7710           -1.1663                 -2.8050
          4          -2.4893                -2.8050    1.4886       35.0000         1.0320             -3.7710           -2.4893                 -2.8050
          5          -2.8067                -2.8067    1.8420       40.0000         0.8392             -3.7710           -2.8067                 -2.8067
          6          -2.5694                -2.8067    2.2610       45.0000         0.8550             -3.7710           -2.5694                 -2.8067
          7          -3.3112                -3.3112    2.5589       50.0000         0.0995             -3.7710           -3.3112                 -3.3112
          8          -1.5715                -3.3112    2.8580       55.0000         2.0272             -3.7710           -1.5715                 -3.3112
          9          -2.3994                -3.3112    3.1646       60.0000         0.7948             -3.7710           -2.3994                 -3.3112
         10          -2.2112                -3.3112    3.4792       65.0000         1.5997             -3.8110           -2.2112                 -3.3112
         11          -1.8535                -3.3112    3.7745       70.0000         1.8792             -3.8110           -1.8535                 -3.3112
         12          -1.3482                -3.3112    4.1042       75.0000         2.5030             -3.8512           -1.3482                 -3.3112
         13          -1.0571                -3.3112    4.4400       80.0000         2.3799             -3.8512           -1.0571                 -3.3112
         14          -1.8294                -3.3112    4.7855       85.0000         1.7275             -3.8512           -1.8294                 -3.3112
