Iteration,Last func val,Incumbent Value val,Time,Cum Train Time,Last func test,Incumbent Value test
0,-2.978951531829586,-2.978951531829586,0.37947654724121094,15.0,-2.978951531829586,-2.978951531829586
1,-2.9105376252383057,-2.978951531829586,0.6246063709259033,20.0,-2.9105376252383057,-2.978951531829586
2,-2.643023353896215,-2.978951531829586,0.8616037368774414,25.0,-2.643023353896215,-2.978951531829586
3,-3.249828148524926,-3.249828148524926,1.1054205894470215,30.0,-3.249828148524926,-3.249828148524926
4,-2.4660516695956693,-3.249828148524926,1.3505988121032715,35.0,-2.4660516695956693,-3.249828148524926
5,-3.550994334411337,-3.550994334411337,1.6075894832611084,40.0,-3.550994334411337,-3.550994334411337
6,-3.3848211556280976,-3.550994334411337,1.8731343746185303,45.0,-3.3848211556280976,-3.550994334411337
7,-2.5918928740779856,-3.550994334411337,2.1380226612091064,50.0,-2.5918928740779856,-3.550994334411337
8,-1.1593579170150239,-3.550994334411337,2.3996028900146484,55.0,-1.1593579170150239,-3.550994334411337
9,-3.7083281361967098,-3.7083281361967098,2.6467983722686768,60.0,-3.7083281361967098,-3.7083281361967098
10,-3.100313723253243,-3.7083281361967098,2.8055226802825928,65.0,-3.100313723253243,-3.7083281361967098
11,-2.9984541459728633,-3.7083281361967098,2.974761962890625,70.0,-2.9984541459728633,-3.7083281361967098
12,-1.1527527226688097,-3.7083281361967098,3.142127513885498,75.0,-1.1527527226688097,-3.7083281361967098
13,-2.313652039246097,-3.7083281361967098,3.3167331218719482,80.0,-2.313652039246097,-3.7083281361967098
14,-3.701838377541792,-3.7083281361967098,3.4914355278015137,85.0,-3.701838377541792,-3.7083281361967098
15,-3.5427622260881724,-3.7083281361967098,3.7050561904907227,90.0,-3.5427622260881724,-3.7083281361967098
16,-3.0270682446822397,-3.7083281361967098,3.8919782638549805,95.0,-3.0270682446822397,-3.7083281361967098
17,-2.097824300432644,-3.7083281361967098,4.088505029678345,100.0,-2.097824300432644,-3.7083281361967098
18,-1.3881088816094014,-3.7083281361967098,4.280493259429932,105.0,-1.3881088816094014,-3.7083281361967098
19,-1.2133868596363868,-3.7083281361967098,4.483184099197388,110.0,-1.2133868596363868,-3.7083281361967098
20,-2.107225042799871,-3.7083281361967098,4.693152904510498,115.0,-2.107225042799871,-3.7083281361967098
21,-2.9864412914295366,-3.7083281361967098,4.924145936965942,120.0,-2.9864412914295366,-3.7083281361967098
22,-0.42062696776941855,-3.7083281361967098,5.153203725814819,125.0,-0.42062696776941855,-3.7083281361967098
23,-1.8268589282582326,-3.7083281361967098,5.436264991760254,130.0,-1.8268589282582326,-3.7083281361967098
24,-0.9777959322688419,-3.7083281361967098,5.787598133087158,135.0,-0.9777959322688419,-3.7083281361967098
25,-2.6025648257198952,-3.7083281361967098,6.146705150604248,140.0,-2.6025648257198952,-3.7083281361967098
26,-2.7630987243578318,-3.7083281361967098,6.597304821014404,145.0,-2.7630987243578318,-3.7083281361967098
27,-2.174731777451532,-3.7083281361967098,7.0445027351379395,150.0,-2.174731777451532,-3.7083281361967098
28,-2.467014316908825,-3.7083281361967098,7.464125633239746,155.0,-2.467014316908825,-3.7083281361967098
29,-3.313346603059617,-3.7083281361967098,7.862069845199585,160.0,-3.313346603059617,-3.7083281361967098
30,-2.8350057760606706,-3.7083281361967098,8.268618822097778,165.0,-2.8350057760606706,-3.7083281361967098
31,-2.582625431447014,-3.7083281361967098,8.718701124191284,170.0,-2.582625431447014,-3.7083281361967098
32,-3.7969169015883244,-3.7969169015883244,9.122412204742432,175.0,-3.7969169015883244,-3.7969169015883244
33,-3.8004956818640547,-3.8004956818640547,9.505414962768555,180.0,-3.8004956818640547,-3.8004956818640547
34,-3.6301141779660195,-3.8004956818640547,9.871600866317749,185.0,-3.6301141779660195,-3.8004956818640547
35,-1.9402392988740114,-3.8004956818640547,10.195773839950562,190.0,-1.9402392988740114,-3.8004956818640547
36,-3.432283693968822,-3.8004956818640547,10.494351863861084,195.0,-3.432283693968822,-3.8004956818640547
37,-1.226879830879964,-3.8004956818640547,10.822755813598633,200.0,-1.226879830879964,-3.8004956818640547
38,-1.8312531588954424,-3.8004956818640547,11.16072416305542,205.0,-1.8312531588954424,-3.8004956818640547
39,-1.30774859508459,-3.8004956818640547,11.505789756774902,210.0,-1.30774859508459,-3.8004956818640547
40,-2.3741902212531056,-3.8004956818640547,11.856418371200562,215.0,-2.3741902212531056,-3.8004956818640547
41,-1.3264196752456097,-3.8004956818640547,12.208637714385986,220.0,-1.3264196752456097,-3.8004956818640547
42,-2.6434857510803456,-3.8004956818640547,12.556795358657837,225.0,-2.6434857510803456,-3.8004956818640547
43,-2.852245747999427,-3.8004956818640547,12.893052577972412,230.0,-2.852245747999427,-3.8004956818640547
44,-2.4744199464108414,-3.8004956818640547,13.27138614654541,235.0,-2.4744199464108414,-3.8004956818640547
45,-0.7720959435634328,-3.8004956818640547,13.6626558303833,240.0,-0.7720959435634328,-3.8004956818640547
46,-2.6488293352526724,-3.8004956818640547,14.04107928276062,245.0,-2.6488293352526724,-3.8004956818640547
47,-3.803224213623089,-3.803224213623089,14.446665287017822,250.0,-3.803224213623089,-3.803224213623089
48,-1.2887471804300934,-3.803224213623089,14.862173795700073,255.0,-1.2887471804300934,-3.803224213623089
49,-1.3702328247767603,-3.803224213623089,15.278798341751099,260.0,-1.3702328247767603,-3.803224213623089
0,-3.52377370586887,-3.52377370586887,0.3910079002380371,15.0,-3.52377370586887,-3.52377370586887
1,-3.499703250319747,-3.52377370586887,0.6488337516784668,20.0,-3.499703250319747,-3.52377370586887
2,-3.639293416087658,-3.639293416087658,0.9113442897796631,25.0,-3.639293416087658,-3.639293416087658
3,-2.5281264571990025,-3.639293416087658,1.1741306781768799,30.0,-2.5281264571990025,-3.639293416087658
4,-2.4927024071182124,-3.639293416087658,1.4475696086883545,35.0,-2.4927024071182124,-3.639293416087658
5,-3.473011358256057,-3.639293416087658,1.7207376956939697,40.0,-3.473011358256057,-3.639293416087658
6,-2.399297146280641,-3.639293416087658,2.0014772415161133,45.0,-2.399297146280641,-3.639293416087658
7,-0.3942820677433429,-3.639293416087658,2.272275447845459,50.0,-0.3942820677433429,-3.639293416087658
8,-1.3430619615641526,-3.639293416087658,2.5460760593414307,55.0,-1.3430619615641526,-3.639293416087658
9,-2.6182252807958823,-3.639293416087658,2.8232057094573975,60.0,-2.6182252807958823,-3.639293416087658
10,-2.566527411420381,-3.639293416087658,3.112572193145752,65.0,-2.566527411420381,-3.639293416087658
11,-1.8695523761423298,-3.639293416087658,3.4005889892578125,70.0,-1.8695523761423298,-3.639293416087658
12,-1.2457579214467005,-3.639293416087658,3.691195249557495,75.0,-1.2457579214467005,-3.639293416087658
13,-2.103913991582254,-3.639293416087658,3.988558053970337,80.0,-2.103913991582254,-3.639293416087658
14,-0.7539626339646244,-3.639293416087658,4.290709018707275,85.0,-0.7539626339646244,-3.639293416087658
15,-3.391672556886205,-3.639293416087658,4.631880521774292,90.0,-3.391672556886205,-3.639293416087658
16,-2.3839528452110574,-3.639293416087658,4.9813268184661865,95.0,-2.3839528452110574,-3.639293416087658
17,-0.6456175974750544,-3.639293416087658,5.3219146728515625,100.0,-0.6456175974750544,-3.639293416087658
18,-3.3862479704182027,-3.639293416087658,5.691225528717041,105.0,-3.3862479704182027,-3.639293416087658
19,-3.1178359346224047,-3.639293416087658,6.0682597160339355,110.0,-3.1178359346224047,-3.639293416087658
20,-3.3523483545552457,-3.639293416087658,6.4457316398620605,115.0,-3.3523483545552457,-3.639293416087658
21,-1.1232898173977088,-3.639293416087658,6.861973524093628,120.0,-1.1232898173977088,-3.639293416087658
22,-1.3312975200103772,-3.639293416087658,7.288326025009155,125.0,-1.3312975200103772,-3.639293416087658
23,-1.5916588510839964,-3.639293416087658,7.650070428848267,130.0,-1.5916588510839964,-3.639293416087658
24,-1.959605157104021,-3.639293416087658,8.087193727493286,135.0,-1.959605157104021,-3.639293416087658
25,-1.5511999022598302,-3.639293416087658,8.545434474945068,140.0,-1.5511999022598302,-3.639293416087658
26,-0.9105817239337939,-3.639293416087658,9.018727540969849,145.0,-0.9105817239337939,-3.639293416087658
27,-2.8607964959507974,-3.639293416087658,9.493117332458496,150.0,-2.8607964959507974,-3.639293416087658
28,-1.6959987223441129,-3.639293416087658,9.858075618743896,155.0,-1.6959987223441129,-3.639293416087658
29,-1.894906228829227,-3.639293416087658,10.233301162719727,160.0,-1.894906228829227,-3.639293416087658
30,-1.4227598844796308,-3.639293416087658,10.615407943725586,165.0,-1.4227598844796308,-3.639293416087658
31,-1.0333746350144468,-3.639293416087658,10.99901032447815,170.0,-1.0333746350144468,-3.639293416087658
32,-2.6171138475974782,-3.639293416087658,11.389302968978882,175.0,-2.6171138475974782,-3.639293416087658
33,-2.4497762103584897,-3.639293416087658,11.829795837402344,180.0,-2.4497762103584897,-3.639293416087658
34,-2.606418413437353,-3.639293416087658,12.25330662727356,185.0,-2.606418413437353,-3.639293416087658
35,-3.0155595482405158,-3.639293416087658,12.62543272972107,190.0,-3.0155595482405158,-3.639293416087658
36,-2.1701391026163352,-3.639293416087658,12.964151859283447,195.0,-2.1701391026163352,-3.639293416087658
37,-2.691299145155287,-3.639293416087658,13.26910924911499,200.0,-2.691299145155287,-3.639293416087658
38,-1.2957655819453093,-3.639293416087658,13.591334581375122,205.0,-1.2957655819453093,-3.639293416087658
39,-2.597054953302729,-3.639293416087658,13.934577941894531,210.0,-2.597054953302729,-3.639293416087658
40,-1.151914442670989,-3.639293416087658,14.28765869140625,215.0,-1.151914442670989,-3.639293416087658
41,-2.2809533877363486,-3.639293416087658,14.644833087921143,220.0,-2.2809533877363486,-3.639293416087658
42,-1.8998102329117428,-3.639293416087658,15.011744976043701,225.0,-1.8998102329117428,-3.639293416087658
43,-1.493749007359261,-3.639293416087658,15.390204906463623,230.0,-1.493749007359261,-3.639293416087658
44,-2.689294805086667,-3.639293416087658,15.78921627998352,235.0,-2.689294805086667,-3.639293416087658
45,-2.896993563927359,-3.639293416087658,16.168229341506958,240.0,-2.896993563927359,-3.639293416087658
46,-3.0972698225611075,-3.639293416087658,16.561901092529297,245.0,-3.0972698225611075,-3.639293416087658
47,-0.8391611651041025,-3.639293416087658,16.96502709388733,250.0,-0.8391611651041025,-3.639293416087658
48,-2.3152276525183586,-3.639293416087658,17.38741970062256,255.0,-2.3152276525183586,-3.639293416087658
49,-2.1214656220898664,-3.639293416087658,17.80569291114807,260.0,-2.1214656220898664,-3.639293416087658
0,-0.28441811523745736,-0.5584814312673536,0.48169708251953125,15.0,-0.28441811523745736,-0.5584814312673536
1,-1.9151457960764324,-1.9151457960764324,0.8177342414855957,20.0,-1.9151457960764324,-1.9151457960764324
2,-1.1752257963516064,-1.9151457960764324,1.1567165851593018,25.0,-1.1752257963516064,-1.9151457960764324
