Iteration,Last func val,Incumbent Value val,Time,Cum Train Time,Last func test,Incumbent Value test
0,-2.537506620542267,-2.537506620542267,0.29014086723327637,15.0,-2.537506620542267,-2.537506620542267
1,-2.3990510092431006,-2.537506620542267,0.5610783100128174,20.0,-2.3990510092431006,-2.537506620542267
2,-1.4716360262038992,-2.537506620542267,0.8394796848297119,25.0,-1.4716360262038992,-2.537506620542267
3,-3.7704620713446637,-3.7704620713446637,1.2009363174438477,30.0,-3.7704620713446637,-3.7704620713446637
4,-2.5692120839481807,-3.7704620713446637,1.4617414474487305,35.0,-2.5692120839481807,-3.7704620713446637
5,-3.504037206078593,-3.7704620713446637,1.6262190341949463,40.0,-3.504037206078593,-3.7704620713446637
6,-0.8887013523290948,-3.7704620713446637,1.7877066135406494,45.0,-0.8887013523290948,-3.7704620713446637
7,-1.5758200690248216,-3.7704620713446637,1.946962833404541,50.0,-1.5758200690248216,-3.7704620713446637
8,-2.751172974597046,-3.7704620713446637,2.1162068843841553,55.0,-2.751172974597046,-3.7704620713446637
9,-2.809885506116481,-3.7704620713446637,2.2823996543884277,60.0,-2.809885506116481,-3.7704620713446637
10,-1.8481635632600957,-3.7704620713446637,2.458608865737915,65.0,-1.8481635632600957,-3.7704620713446637
11,-1.8333735189099636,-3.7704620713446637,2.6327881813049316,70.0,-1.8333735189099636,-3.7704620713446637
12,-2.247146007614072,-3.7704620713446637,2.815751075744629,75.0,-2.247146007614072,-3.7704620713446637
13,-1.9547197559716192,-3.7704620713446637,2.995696783065796,80.0,-1.9547197559716192,-3.7704620713446637
14,-0.3921215325436123,-3.7704620713446637,3.187488555908203,85.0,-0.3921215325436123,-3.7704620713446637
15,-2.6110964350133052,-3.7704620713446637,3.3790194988250732,90.0,-2.6110964350133052,-3.7704620713446637
16,-2.9398416601395487,-3.7704620713446637,3.578026533126831,95.0,-2.9398416601395487,-3.7704620713446637
17,-1.4621340189402359,-3.7704620713446637,3.776344060897827,100.0,-1.4621340189402359,-3.7704620713446637
18,-2.470857728444677,-3.7704620713446637,3.986159086227417,105.0,-2.470857728444677,-3.7704620713446637
19,-2.2013054524796667,-3.7704620713446637,4.201049566268921,110.0,-2.2013054524796667,-3.7704620713446637
20,-1.362229541218874,-3.7704620713446637,4.426681756973267,115.0,-1.362229541218874,-3.7704620713446637
21,-1.721768452348058,-3.7704620713446637,4.67281699180603,120.0,-1.721768452348058,-3.7704620713446637
22,-1.8394340306335004,-3.7704620713446637,4.917304277420044,125.0,-1.8394340306335004,-3.7704620713446637
23,-0.8026653632628968,-3.7704620713446637,5.221004247665405,130.0,-0.8026653632628968,-3.7704620713446637
24,-3.15713437498534,-3.7704620713446637,5.605382680892944,135.0,-3.15713437498534,-3.7704620713446637
25,-2.577865804362034,-3.7704620713446637,5.999758243560791,140.0,-2.577865804362034,-3.7704620713446637
0,-2.3195976683562165,-2.5044995174258347,0.29164552688598633,15.0,-2.3195976683562165,-2.5044995174258347
1,-1.9996986489646011,-2.5044995174258347,0.5664205551147461,20.0,-1.9996986489646011,-2.5044995174258347
2,-2.805005569469253,-2.805005569469253,0.824012279510498,25.0,-2.805005569469253,-2.805005569469253
3,-1.1663153369669523,-2.805005569469253,1.1404392719268799,30.0,-1.1663153369669523,-2.805005569469253
4,-2.4893003911186735,-2.805005569469253,1.488614559173584,35.0,-2.4893003911186735,-2.805005569469253
5,-2.806737882984442,-2.806737882984442,1.8420238494873047,40.0,-2.806737882984442,-2.806737882984442
6,-2.5694359724864713,-2.806737882984442,2.261016368865967,45.0,-2.5694359724864713,-2.806737882984442
7,-3.3111511538510543,-3.3111511538510543,2.558938980102539,50.0,-3.3111511538510543,-3.3111511538510543
8,-1.571531715454864,-3.3111511538510543,2.858001947402954,55.0,-1.571531715454864,-3.3111511538510543
9,-2.3993828542839406,-3.3111511538510543,3.1646296977996826,60.0,-2.3993828542839406,-3.3111511538510543
10,-2.2112273924911694,-3.3111511538510543,3.4791712760925293,65.0,-2.2112273924911694,-3.3111511538510543
11,-1.8535128380932573,-3.3111511538510543,3.7745137214660645,70.0,-1.8535128380932573,-3.3111511538510543
12,-1.3481915422283937,-3.3111511538510543,4.104162693023682,75.0,-1.3481915422283937,-3.3111511538510543
13,-1.0571123302410874,-3.3111511538510543,4.440040588378906,80.0,-1.0571123302410874,-3.3111511538510543
14,-1.829387304317404,-3.3111511538510543,4.785525798797607,85.0,-1.829387304317404,-3.3111511538510543
15,-2.5679007117507284,-3.3111511538510543,5.1335976123809814,90.0,-2.5679007117507284,-3.3111511538510543
16,-3.3891315187835316,-3.3891315187835316,5.494765043258667,95.0,-3.3891315187835316,-3.3891315187835316
17,-3.2374645453727027,-3.3891315187835316,5.8617188930511475,100.0,-3.2374645453727027,-3.3891315187835316
18,-1.4146454889049058,-3.3891315187835316,6.191027879714966,105.0,-1.4146454889049058,-3.3891315187835316
19,-0.7088401642460431,-3.3891315187835316,6.528087854385376,110.0,-0.7088401642460431,-3.3891315187835316
20,-2.4336172935231,-3.3891315187835316,6.872929573059082,115.0,-2.4336172935231,-3.3891315187835316
21,-2.6367828581916695,-3.3891315187835316,7.223395586013794,120.0,-2.6367828581916695,-3.3891315187835316
22,-2.8087171255456758,-3.3891315187835316,7.58491063117981,125.0,-2.8087171255456758,-3.3891315187835316
23,-1.932672596228939,-3.3891315187835316,7.951342821121216,130.0,-1.932672596228939,-3.3891315187835316
24,-3.58003201748369,-3.58003201748369,8.340247392654419,135.0,-3.58003201748369,-3.58003201748369
25,-2.6414858418502156,-3.58003201748369,8.721366167068481,140.0,-2.6414858418502156,-3.58003201748369
26,-2.082492314801984,-3.58003201748369,9.19977593421936,145.0,-2.082492314801984,-3.58003201748369
27,-1.2354985666090257,-3.58003201748369,9.690293312072754,150.0,-1.2354985666090257,-3.58003201748369
28,-3.7179178054908864,-3.7179178054908864,10.130424499511719,155.0,-3.7179178054908864,-3.7179178054908864
29,-2.3845088191053008,-3.7179178054908864,10.57869553565979,160.0,-2.3845088191053008,-3.7179178054908864
30,-0.8683474059113216,-3.7179178054908864,11.039342880249023,165.0,-0.8683474059113216,-3.7179178054908864
31,-2.9887162424714737,-3.7179178054908864,11.505519390106201,170.0,-2.9887162424714737,-3.7179178054908864
32,-2.239506498717849,-3.7179178054908864,11.891623735427856,175.0,-2.239506498717849,-3.7179178054908864
33,-1.3748586595808696,-3.7179178054908864,12.342897415161133,180.0,-1.3748586595808696,-3.7179178054908864
34,-2.7925658395712145,-3.7179178054908864,12.78726315498352,185.0,-2.7925658395712145,-3.7179178054908864
35,-2.5198672514673524,-3.7179178054908864,13.135632514953613,190.0,-2.5198672514673524,-3.7179178054908864
36,-3.7703295052945602,-3.7703295052945602,13.50524091720581,195.0,-3.7703295052945602,-3.7703295052945602
0,-0.15347207031982182,-0.2704815646424083,0.40277099609375,15.0,-0.15347207031982182,-0.2704815646424083
1,-0.3570508313719475,-0.3570508313719475,0.7026677131652832,20.0,-0.3570508313719475,-0.3570508313719475
2,-0.2298330082333495,-0.3570508313719475,1.0576212406158447,25.0,-0.2298330082333495,-0.3570508313719475
3,-0.5991586224686223,-0.5991586224686223,1.421116590499878,30.0,-0.5991586224686223,-0.5991586224686223
4,-0.2506448965984847,-0.5991586224686223,1.787158727645874,35.0,-0.2506448965984847,-0.5991586224686223
5,-0.280604681051063,-0.5991586224686223,2.163069248199463,40.0,-0.280604681051063,-0.5991586224686223
6,-0.08146523702711404,-0.5991586224686223,2.5440351963043213,45.0,-0.08146523702711404,-0.5991586224686223
7,-0.09604240087781063,-0.5991586224686223,2.858835458755493,50.0,-0.09604240087781063,-0.5991586224686223
8,-1.196946164918424,-1.196946164918424,3.178647041320801,55.0,-1.196946164918424,-1.196946164918424
9,-0.1728100550460011,-1.196946164918424,3.5025362968444824,60.0,-0.1728100550460011,-1.196946164918424
